Row,Brand,Model,Recorded Dimensions,Verdict,Finding,Recommended Value,Cut Sheet Status,Recommended Source,Current URL
1,Trane,T5TEM4B02AC21SA,"18.50"" W x 45.02"" H x 21.08"" D",OK,Matches AHR-PSD006C Table 23 (H x W x D) for 5TEM4B02/B03.,,ok,,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20and%20Submittal%20Data/AHR-PSD006C-EN_03212026.pdf
2,Trane,T5TEM4B03AC31SA,"18.50"" W x 46.77"" H x 21.08"" D",OK,Matches AHR-PSD006C Table 23 (H x W x D) for 5TEM4B02/B03.,,ok,,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20and%20Submittal%20Data/AHR-PSD006C-EN_03212026.pdf
3,Trane,RA4AC3048D1000A,"34.3"" W x 28.6"" H x 34.3"" D (verify)",OK,"Value correct (mm-derived 871x726x871mm = 34.3x28.6x34.3""); matches published 34x29x34 for RunTru A4AC3048D1. Model is RunTru A4AC3048D1000A (sheet prefixes ""R"").",,"BAD - generic landing page, model not on it",RunTru A4AC3 product literature (runtruhvac.com),https://www.trane.com/residential/en/products/air-conditioners/
4,Trane,T4TTX5048N1000A,"37"" W x 51"" H x 34"" D (verify)",OK,"Verified: Trane XL15i 4TTX5048N1000A uncrated H51 x W37 x D34. Sheet prefixes ""T"".",,"BAD - generic landing page, model not on it",Trane XL15i 4TTX5 product data (22-1811 series),https://www.trane.com/residential/en/products/air-conditioners/
5,Trane,T5TXCB003AS3HCA,"17.5"" W x 17.5"" H x 21.5"" D",OK,"Matches COR-PSD003A Tables 3-5 ""Uncrated"" H x W x D, correctly re-ordered to W x H x D.",,ok,,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf
6,Trane,T5TXCB004AS3HCA,"17.5"" W x 22.5"" H x 21.5"" D",OK,"Matches COR-PSD003A Tables 3-5 ""Uncrated"" H x W x D, correctly re-ordered to W x H x D.",,ok,,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf
7,Trane,T5TXCC007AS3HCA,"21"" W x 26.75"" H x 21.5"" D",OK,"Matches COR-PSD003A Tables 3-5 ""Uncrated"" H x W x D, correctly re-ordered to W x H x D.",,ok,,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf
8,Trane,T5TXCB006AS3HCA,"17.5"" W x 26.75"" H x 21.5"" D",OK,"Matches COR-PSD003A Tables 3-5 ""Uncrated"" H x W x D, correctly re-ordered to W x H x D.",,ok,,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf
9,Trane,T5TXCC005AS3HCA,"21"" W x 22.5"" H x 21.5"" D",OK,"Matches COR-PSD003A Tables 3-5 ""Uncrated"" H x W x D, correctly re-ordered to W x H x D.",,ok,,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf
10,Trane,T5TXCD010AS3HCA,"24.5"" W x 30.75"" H x 21.5"" D",OK,"Matches COR-PSD003A Tables 3-5 ""Uncrated"" H x W x D, correctly re-ordered to W x H x D.",,ok,,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf
