Model,Dimensions,Cut Sheet,Status,Notes
EZ2612A9,"26"" W x 16"" H x 16.875"" D",https://islandaire.com/wp-content/uploads/2025/07/ez26-series-cutsheet.pdf,VERIFIED,EZ26 sleeve envelope; same as sheet rows 104/105/131
EZ12A2RMGBS15AA,"36"" W x 16"" H x 11.375"" D",https://islandaire.com/wp-content/uploads/2025/08/EZRM-Series-Cutsheet.pdf,VERIFIED,EZ RM sleeve envelope; same as rows 93-99
EZRK12K5GAN16AL,"37 3/4"" W x 15 5/8"" H x 25 3/8"" D",https://islandaire.com/wp-content/uploads/2025/08/EZRK-SERIES-CUT-SHEET.pdf,DISPUTED - manual check,carried from existing RK rows; RK drawing reads ~15-16 1/8 H x 18 1/4 D - same dispute as rows 84-91
EZRK16K9GAN16AL,"37 3/4"" W x 15 5/8"" H x 25 3/8"" D",https://islandaire.com/wp-content/uploads/2025/08/EZRK-SERIES-CUT-SHEET.pdf,DISPUTED - manual check,same as above
EZRM16L2IBS15AA,"36"" W x 16"" H x 11.375"" D",https://islandaire.com/wp-content/uploads/2025/08/EZRM-Series-Cutsheet.pdf,VERIFIED,EZ RM sleeve envelope
EZ09K116,"34 1/4"" W x 14 1/16"" H x 21 9/16"" D",https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-16-Cutsheet.pdf,VERIFIED,EZ16 chassis; same as rows 106-118
WCVT12B10B,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,Wallmaster WSE sleeve envelope 27 x 16 3/4 x 16 3/4; all Wallmaster chassis require WSE
WCVT16B30,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,model listed as WCT16B30A in submittal; same WSE platform
WCVT16B30A,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,same WSE platform
PDE09K3SGR3,"42"" W x 16"" H x 21.5"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/PTAC%20ZONEAIRE%20PREMIER%20Series%20Submittal_2025.pdf,VERIFIED,"ZoneAire Premier submittal: sleeve 16x42x13 3/4, with front 16x42x21 1/2 - all models"
PDE12K3SGR3,"42"" W x 16"" H x 21.5"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/PTAC%20ZONEAIRE%20PREMIER%20Series%20Submittal_2025.pdf,VERIFIED,"same table, all models"
CCW06B10B,"18 1/2"" W x 13 1/2"" H x 19 3/4"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/Chill%20Premier_Submittal%20_2025.pdf,VERIFIED,doc lists CCW06B10C at 13 1/2 H x 18 1/2 W x 19 3/4 D; B-rev same size class
CCW18B30B,"23 5/8"" W x 17 7/8"" H x 25 3/8"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/Chill%20Premier_Submittal%20_2025.pdf,VERIFIED,"explicitly listed: CCW15B10B, CCW18B30B, CEW18B33B share 17 7/8 x 23 5/8 x 25 3/8"
CCV12A10A,"20 5/8"" W x 13 3/8"" H x 19 1/4"" D",https://www.friedrich.com/hubfs/2026%20Literature%20PDFs/2026%20Brochures/BR_CHILL%20INVERTER_REV%2002-14-25.pdf,VERIFIED,same row as CCV08/CCV10 - rows 241/242
CCV15A10A,"25 1/2"" W x 17"" H x 26 3/8"" D",https://www.friedrich.com/hubfs/2026%20Literature%20PDFs/2026%20Brochures/BR_CHILL%20INVERTER_REV%2002-14-25.pdf,VERIFIED,CCV15/18/24 row: 17 H x 25 1/2 W x 26 3/8 D
CCV18A30A,"25 1/2"" W x 17"" H x 26 3/8"" D",https://www.friedrich.com/hubfs/2026%20Literature%20PDFs/2026%20Brochures/BR_CHILL%20INVERTER_REV%2002-14-25.pdf,VERIFIED,same row
