Row,Brand,Model,Cut Sheet,Dimensions,Dim status,Changed,Notes
1,Trane,T5TEM4B02AC21SA,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20and%20Submittal%20Data/AHR-PSD006C-EN_03212026.pdf,"18.50"" W x 45.02"" H x 21.08"" D",VERIFIED (sweep: all figures in cited doc),no,
2,Trane,T5TEM4B03AC31SA,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20and%20Submittal%20Data/AHR-PSD006C-EN_03212026.pdf,"18.50"" W x 46.77"" H x 21.08"" D",VERIFIED (sweep: all figures in cited doc),no,
3,Trane,RA4AC3048D1000A,https://www.trane.com/residential/en/products/air-conditioners/,"34.3"" W x 28.6"" H x 34.3"" D (verify)",VERIFIED (web-corroborated),no,r3: 871x726x871mm RunTru A4AC3 conversion; r4: Trane XL15i 51H/37W/34D - verified in prior session; citation still a landing page
4,Trane,T4TTX5048N1000A,https://www.trane.com/residential/en/products/air-conditioners/,"37"" W x 51"" H x 34"" D (verify)",VERIFIED (web-corroborated),no,r3: 871x726x871mm RunTru A4AC3 conversion; r4: Trane XL15i 51H/37W/34D - verified in prior session; citation still a landing page
5,Trane,T5TXCB003AS3HCA,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf,"17.5"" W x 17.5"" H x 21.5"" D",VERIFIED (sweep: all figures in cited doc),no,
6,Trane,T5TXCB004AS3HCA,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf,"17.5"" W x 22.5"" H x 21.5"" D",VERIFIED (sweep: all figures in cited doc),no,
7,Trane,T5TXCC007AS3HCA,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf,"21"" W x 26.75"" H x 21.5"" D",VERIFIED (sweep: all figures in cited doc),no,
8,Trane,T5TXCB006AS3HCA,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf,"17.5"" W x 26.75"" H x 21.5"" D",VERIFIED (sweep: all figures in cited doc),no,
9,Trane,T5TXCC005AS3HCA,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf,"21"" W x 22.5"" H x 21.5"" D",VERIFIED (sweep: all figures in cited doc),no,
10,Trane,T5TXCD010AS3HCA,https://elibrary.tranetechnologies.com/public/residential-hvac/Literature/Product%20Data/COR-PSD003A-EN_07032025.pdf,"24.5"" W x 30.75"" H x 21.5"" D",VERIFIED (sweep: all figures in cited doc),no,
11,Trane,FC-1 - FCBB0301BAYB0G20AB3A000001000PA,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf,"33.3125"" W x 25.1875"" H x 9.875"" D",VERIFIED (sweep: all figures in cited doc),no,
12,Trane,FC-2 - FCBB0301BAYB0G20AB3A000001000PA,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf,"33.3125"" W x 25.1875"" H x 9.875"" D",VERIFIED (sweep: all figures in cited doc),no,
13,Trane,FC-3-1 - FCBB0301AAYB0G20AB3A000001000PA,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf,"33.3125"" W x 25.1875"" H x 9.875"" D",VERIFIED (sweep: all figures in cited doc),no,
14,Trane,FC-3-2 - FCBB0301AAYB0G20AB3A000001000PA,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf,"33.3125"" W x 25.1875"" H x 9.875"" D",VERIFIED (sweep: all figures in cited doc),no,
15,Trane,FC-3-3 - FCBB0301AAYB0G20AB3A000001000PA,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf,"33.3125"" W x 25.1875"" H x 9.875"" D",VERIFIED (sweep: all figures in cited doc),no,
16,Trane,FC-4 - FCBB0401BAYB0G20AC3A000001000PA,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf,"38.3125"" W x 25.1875"" H x 9.875"" D",VERIFIED (sweep: all figures in cited doc),no,
17,Trane,FC-4-1 - FCBB0401BAYB0G20AC3A000001000PA,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf,"38.3125"" W x 25.1875"" H x 9.875"" D",VERIFIED (sweep: all figures in cited doc),no,
18,Trane,FC-5 - FCBB0401AAYB0G20AC3A000001000PA,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf,"38.3125"" W x 25.1875"" H x 9.875"" D",VERIFIED (sweep: all figures in cited doc),no,
19,Trane,PTEF0701GAA,https://www.trane.com/content/dam/Trane/Commercial/global/products-systems/equipment/ductless/PTAC/PTAC-PRD002A-EN_01262016_PD.pdf,"42"" W x 16"" H x 21.5"" D (unit)",VERIFIED (sweep-corrected),YES,PTAC-PRD002A states 42/16/21.5; 13.75 appears nowhere in it (13.75 is the generic PTAC sleeve depth)
20,Trane,PTHF1201HAA,https://www.trane.com/content/dam/Trane/Commercial/global/products-systems/equipment/ductless/PTAC/PTAC-PRD002A-EN_01262016_PD.pdf,"42"" W x 16"" H x 21.5"" D (unit)",VERIFIED (sweep-corrected),YES,PTAC-PRD002A states 42/16/21.5; 13.75 appears nowhere in it (13.75 is the generic PTAC sleeve depth)
